Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2018-07-11,248.8349189585633,249.63400511332827,248.26927862873995,248.5745391845703,77054700,11,2,28,7,2018
2018-07-12,249.8494578743236,250.8819623764645,249.2389368086785,250.82809448242188,60124700,12,3,28,7,2018
2018-07-13,250.64845283290785,251.3307883759312,250.19054850029696,251.0255279541016,48216000,13,4,28,7,2018
2018-07-16,251.070590692738,251.21422017989468,250.35230625820697,250.8012237548828,48201000,16,0,29,7,2018
2018-07-17,250.0200197604911,252.2107385307063,249.9661518726776,251.8156890869141,52315500,17,1,29,7,2018
2018-07-18,251.89654156251427,252.4531947816624,251.44762414065352,252.345458984375,44593500,18,2,29,7,2018
2018-07-19,251.6720032793869,252.05806556418537,250.9088384235677,251.3936767578125,61412100,19,3,29,7,2018
2018-07-20,251.1872624250645,251.82474493775976,250.9448568637383,251.10646057128903,82337700,20,4,29,7,2018
2018-07-23,250.8999271727024,251.77978767547413,250.5497584748504,251.57330322265625,47047600,23,0,30,7,2018
2018-07-24,253.0009408216227,253.6922639309381,251.95944889866328,252.8393096923828,68026900,24,1,30,7,2018
2018-07-25,252.58789164412937,255.31731753398105,252.5430108570233,254.99411010742188,78882900,25,2,30,7,2018
2018-07-26,254.2668192104356,255.0838247438172,254.1680431373307,254.3925018310547,57919500,26,3,30,7,2018
2018-07-27,254.7247232963628,254.82349937993084,251.734945235144,252.668701171875,76768700,27,4,30,7,2018
2018-07-30,252.74951246949013,252.91111617619197,250.81914550703564,251.3488922119141,63742500,30,0,31,7,2018
2018-07-31,252.12102632193785,253.2073989231534,251.7349638751894,252.587890625,68570500,31,1,31,7,2018
2018-08-01,252.7943736395229,253.3061460707818,251.5104764029916,252.16587829589844,53853300,1,2,31,8,2018
2018-08-02,250.84613729646068,253.7102057785908,250.63962537967384,253.5396423339844,63426400,2,3,31,8,2018
2018-08-03,253.6652106622093,254.67976815304715,253.4856327807425,254.6259002685547,53935400,3,4,31,8,2018
2018-08-06,254.661812031352,255.8738667879385,254.26676262633197,255.5596466064453,39400900,6,0,32,8,2018
2018-08-07,256.23312309499096,256.78977636604634,256.0984259360764,256.4036865234375,43196600,7,1,32,8,2018
2018-08-08,256.2330708292025,256.6999350323342,255.8290342343683,256.2958984375,42114600,8,2,32,8,2018
2018-08-09,256.3587818787198,256.75383140200915,255.81111577582703,255.9457855224609,35717000,9,3,32,8,2018
2018-08-10,254.49130629937196,255.0389724212885,253.5126421737658,254.23092651367188,77076000,10,4,32,8,2018
2018-08-13,254.5091886290453,255.1286967278146,252.98285876836235,253.27915954589844,65732900,13,0,33,8,2018
2018-08-14,254.0154032092277,255.1376965746373,253.62035375262437,254.895263671875,43842000,14,1,33,8,2018
2018-08-15,253.53064983539707,253.6743067223196,251.53745505394,252.991943359375,102925400,15,2,33,8,2018
2018-08-16,254.44639664517268,255.9188589836604,254.4104755784485,255.0389709472656,69967900,16,3,33,8,2018
2018-08-17,254.83249695400065,256.3857613737613,254.41950052437488,255.9368438720703,65618500,17,4,33,8,2018
2018-08-20,256.394799624852,256.75392821787625,255.93689491388676,256.4845886230469,39807500,20,0,34,8,2018
2018-08-21,257.0052272037664,257.9569299579387,256.5203887102131,257.0860290527344,67272000,21,1,34,8,2018
2018-08-22,256.6729394065908,257.4630381756747,256.4035726081837,256.9333190917969,44993300,22,2,34,8,2018
2018-08-23,256.7537667411999,257.6246674164315,256.2689283756746,256.5921630859375,49204900,23,3,34,8,2018
2018-08-24,257.175876074598,258.2802230592864,257.12200816312554,258.1365661621094,57487400,24,4,34,8,2018
2018-08-27,259.34857091695187,260.2823268663563,259.1869672140971,260.1745910644531,57072400,27,0,35,8,2018
2018-08-28,260.6414166399629,260.74917982561186,259.8333708459194,260.3002624511719,46943500,28,1,35,8,2018
2018-08-29,260.5157487055428,261.93431563283644,260.27334317359043,261.7008972167969,61485500,29,2,35,8,2018
2018-08-30,261.2161070219151,261.59318236351874,260.03994540923696,260.6414794921875,61229500,30,3,35,8,2018
2018-08-31,260.22849862280816,261.099399687241,259.73470032225106,260.6504821777344,66140800,31,4,35,8,2018
2018-09-04,260.22844151702924,260.5606360172057,259.18694983555383,260.2015075683594,57594400,4,1,36,9,2018
2018-09-05,259.84231067683766,260.0488224954075,258.47761197078665,259.5011291503906,72452400,5,2,36,9,2018
2018-09-06,259.6089711263826,259.9142317223697,257.6786314577809,258.7201232910156,65909900,6,3,36,9,2018
2018-09-07,257.6606319831876,259.2049088825265,257.4181990596172,258.21728515625,73524800,7,4,36,9,2018
2018-09-10,259.2408598972865,259.5102268275408,258.4687349766713,258.666259765625,50210900,10,0,37,9,2018
2018-09-11,258.0107786535248,259.96805191550163,257.6606373340578,259.5191345214844,50530500,11,1,37,9,2018
2018-09-12,259.5281328347951,260.1925218386883,258.78294198446173,259.5820007324219,59810800,12,2,37,9,2018
2018-09-13,260.6593714791157,261.3058135462071,260.3720578049106,261.11724853515625,51034200,13,3,37,9,2018
2018-09-14,261.32380462193413,261.5123422651672,260.3721018897649,261.1622009277344,55079900,14,4,37,9,2018
2018-09-17,261.1082238078522,261.1441174583858,259.5010924551445,259.7794189453125,68244000,17,0,38,9,2018
2018-09-18,259.9949514601306,261.7906207985933,259.96801751604323,261.1890869140625,61930400,18,1,38,9,2018
2018-09-19,261.2430095473742,261.8894517406764,261.1172995154634,261.46746826171875,49080600,19,2,38,9,2018
2018-09-20,262.74233386629203,263.9095079013693,261.4853434903775,263.5862731933594,100360600,20,3,38,9,2018
2018-09-21,264.33758394174174,264.45483521968595,263.18315428192614,263.3454895019531,105479700,21,4,38,9,2018
2018-09-24,262.7592563810676,262.9035635266795,261.8844132333897,262.4706420898437,53409600,24,0,39,9,2018
2018-09-25,262.9306836736165,263.0389071783389,261.9837004835153,262.2272033691406,44370000,25,1,39,9,2018
2018-09-26,262.37149044310746,263.5710042268959,261.0186416901929,261.4425354003906,79739700,26,2,39,9,2018
2018-09-27,261.9205040372107,263.27335259993765,261.64091753614906,262.17303466796875,59249500,27,3,39,9,2018
2018-09-28,261.541737958427,262.70519562311193,261.50568180785723,262.2001342773437,70091400,28,4,39,9,2018
2018-10-01,263.45372147239533,264.19328530805143,262.4345986535327,263.11102294921875,62078900,1,0,40,10,2018
2018-10-02,262.95770263671875,263.6792109161054,262.57892042336255,262.95770263671875,47258200,2,1,40,10,2018
2018-10-03,264.02200873361505,264.4459025319921,262.74132706109503,263.1020812988281,64694600,3,2,40,10,2018
2018-10-04,262.6149497825415,262.66906152178694,259.44027514378695,261.045654296875,111545900,4,3,40,10,2018
2018-10-05,261.27123371688384,261.7943232470644,258.1416417658618,259.5846862792969,105951700,5,4,40,10,2018
2018-10-08,258.8902061411482,259.94544052670943,257.4922731110052,259.5846862792969,87742200,8,0,41,10,2018
2018-10-09,259.196810271532,260.52257560095273,258.6376096778217,259.205810546875,74339000,9,1,41,10,2018
2018-10-10,258.6917656476483,258.76393300539576,250.61978337889263,250.99856567382807,214731000,10,2,41,10,2018
2018-10-11,249.898194845958,251.53965784209564,243.83743168803008,245.4698944091797,274840500,11,3,41,10,2018
2018-10-12,249.6185492432321,249.90716349762928,245.6501995784668,248.87901306152344,183186500,12,4,41,10,2018
2018-10-15,248.5182727653811,249.8621210690079,247.39089895039797,247.4810943603516,102263700,15,0,42,10,2018
